# Word-level regression set.
#
# Every line here converts correctly *today*, with the index layer alone. The
# point is not to measure accuracy -- samples/easy.tsv, ambiguous.tsv and
# tricky.tsv already do that. The point is that adding the composition layer
# (segmentation, Viterbi over 文節) must not take any of these away.
#
# Mozc's own write-up records the failure this guards against: chasing a
# sentence-level score twice in a row broke さくじつ→昨日 and ごご→午後, and
# "however well 1000 sentences convert, a user who cannot get a word they type
# every day decides the thing is unusable."
#
# Rules for editing this file:
#   - Only add a line whose top-1 candidate is already correct. Snapshotting a
#     wrong answer turns a regression test into a guard for the bug.
#   - List every spelling that is real Japanese, separated by `|`. Otherwise the
#     test freezes one orthographic preference. Do not list clearly worse ones.
#   - Verbs are weighted heavily on purpose: inflected forms are synthesised at
#     build time (Sources/KanaKanjiCore/Inflection.swift) from stems, so they are
#     the most fragile part of the index.
#
# reading<TAB>expected[|alternative...]

# --- 五段動詞 -----------------------------------------------------------------
# 基本形 / 過去 / て形 / ます形 / 否定 / 仮定 / 意向。まつ・かう・いく が全形そろい。
# かく は基本形だけ外してある(現状 各 が1位)。よんだ/よんで/のんだ/のんで/はなした/
# はなして も外してある -- 撥音便と連用形の衝突は下の「いま外している」を参照。
かいた	書いた|描いた
かいて	書いて|描いて
かきます	書きます|描きます
かかない	書かない|描かない
かけば	書けば|描けば
かこう	書こう|描こう
まつ	待つ|松
まった	待った
まって	待って
まちます	待ちます
またない	待たない
まてば	待てば
まとう	待とう|纏う
かう	買う|飼う
かった	買った|飼った|勝った
かって	買って|飼って|勝って
かいます	買います|飼います
かわない	買わない|飼わない
かえば	買えば|飼えば
かおう	買おう|飼おう
いく	行く|逝く
いった	行った|言った
いって	行って|言って
いきます	行きます|生きます
いかない	行かない|逝かない
いけば	行けば
いこう	行こう|以降|意向
よむ	読む|詠む
よみます	読みます|詠みます
よまない	読まない
よめば	読めば
よもう	読もう
はなす	話す|離す|放す
はなします	話します|離します|放します
はなさない	話さない|離さない
はなせば	話せば|離せば|放せば
はなそう	話そう|離そう
のむ	飲む|呑む
のみます	飲みます|呑みます
のまない	飲まない
つくる	作る|造る|創る
つくった	作った|造った|創った
つくって	作って|造って|創って
つくらない	作らない

# --- 一段動詞 -----------------------------------------------------------------
たべる	食べる
たべた	食べた
たべて	食べて
たべます	食べます
たべない	食べない
たべれば	食べれば
みる	見る|観る|診る
みた	見た|観た
みて	見て|観て
みます	見ます|観ます
みれば	見れば|観れば
みよう	見よう|観よう
おぼえる	覚える|憶える
おぼえた	覚えた|憶えた
おぼえて	覚えて|憶えて
きめる	決める
きめた	決めた
きめて	決めて
おきる	起きる
おきた	起きた

# --- カ変・サ変 ---------------------------------------------------------------
# カ変はいま こよう しか通らない。くる/きた/きて/きます/こない/くれば は 来る 系が
# 1位に来ないので外してある。直ったらここに足すこと。
# サ変複合(べんきょうする など)は索引層では候補ゼロ。構成層が入ってから。
こよう	来よう
する	する|刷る|擦る
した	した|下
して	して
します	します
しない	しない
すれば	すれば
しよう	仕様|使用|しよう

# --- 形容詞 -------------------------------------------------------------------
あつい	暑い|熱い|厚い
