# Not ambiguous to a human, but the classic places an IME goes wrong.
# One reading dominates in real writing; a model tuned for parsing existing
# text rather than for choosing what to write picks the other one.
# reading<TAB>expected[|alternative...]
かんじへんかんのせいどをかくにんする	漢字変換の精度を確認する
じしんがあるとはっきりいえる	自信があるとはっきり言える
いがいとおもしろかった	意外と面白かった|意外とおもしろかった
ようけんをつたえておきます	用件を伝えておきます
きかいがあればぜひやりたい	機会があればぜひやりたい
せいかくにつたえてください	正確に伝えてください
かていをたいせつにしたい	家庭を大切にしたい
こうしょうをすすめている	交渉を進めている
ほしょうのたいしょうになります	保証の対象になります|補償の対象になります
かんしんをもっています	関心を持っています
たいしょうをしぼりこむ	対象を絞り込む
かいとうをおくりました	回答を送りました|解答を送りました
しゅうしゅうしたデータ	収集したデータ
ついきゅうすべきかだい	追求すべき課題|追究すべき課題
そうだんしたいことがあります	相談したいことがあります
ちょっとまってください	ちょっと待ってください
はやくきてください	早く来てください
しごとのけんについてはなす	仕事の件について話す
